sample_id,date,watershed,fertilizer_input_kg_ha,temp_C,turbidity_NTU,algal_index
1,2022-01-01,Orestimba,32.0,23.0,12.5,57.0
2,2022-01-04,LowerBear,64.5,16.5,4.0,76.5
3,2022-01-07,LowerBear,46.5,11.0,11.5,55.5
4,2022-01-10,LowerBear,63.5,18.0,11.5,79.0
5,2022-01-13,LowerBear,85.0,14.5,23.0,94.0
6,2022-01-16,Orestimba,76.5,16.5,17.5,90.0
7,2022-01-19,Orestimba,75.0,17.5,12.0,88.0
8,2022-01-22,Orestimba,77.0,11.0,13.5,84.0
9,2022-01-25,Orestimba,84.0,11.5,12.5,89.0
10,2022-01-28,LowerBear,60.0,20.0,11.0,77.0
11,2022-01-31,Orestimba,94.0,16.0,5.5,104.0
12,2022-02-03,DryCrk,93.5,7.5,11.0,92.5
13,2022-02-06,DryCrk,87.5,21.0,7.5,103.5
14,2022-02-09,Orestimba,91.0,19.0,4.5,105.0
15,2022-02-12,Orestimba,86.0,15.0,15.0,96.0
16,2022-02-15,Orestimba,120.5,12.5,14.5,123.0
17,2022-02-18,DryCrk,78.5,21.5,1.5,97.0
18,2022-02-22,DryCrk,74.0,19.5,11.5,91.0
19,2022-02-25,Orestimba,65.0,27.5,18.0,92.5
20,2022-02-28,LowerBear,59.5,19.5,18.5,77.5
21,2022-03-03,LowerBear,55.0,19.5,18.0,74.0
22,2022-03-06,DryCrk,62.0,17.5,12.0,75.5
23,2022-03-09,LowerBear,78.5,21.5,7.0,96.0
24,2022-03-12,LowerBear,86.5,20.5,5.5,102.0
25,2022-03-15,Orestimba,81.0,23.0,14.0,100.5
26,2022-03-18,Orestimba,64.5,16.0,14.5,77.0
27,2022-03-21,DryCrk,98.0,16.5,19.5,108.0
28,2022-03-24,DryCrk,95.0,16.0,18.5,106.0
29,2022-03-27,DryCrk,77.0,21.0,11.0,94.5
30,2022-03-30,Orestimba,67.0,24.0,4.5,89.5
31,2022-04-02,DryCrk,91.0,16.0,10.0,101.0
32,2022-04-05,LowerBear,84.0,16.5,13.5,95.5
33,2022-04-08,DryCrk,51.0,19.5,11.0,69.5
34,2022-04-11,DryCrk,78.5,17.0,8.5,91.5
35,2022-04-15,Orestimba,85.0,22.0,13.5,104.0
36,2022-04-18,Orestimba,62.0,9.0,9.0,68.0
37,2022-04-21,Orestimba,84.0,14.5,8.0,93.0
38,2022-04-24,DryCrk,51.0,15.0,14.0,64.5
39,2022-04-27,DryCrk,106.5,8.5,9.5,105.0
40,2022-04-30,DryCrk,105.0,14.0,13.5,111.0
41,2022-05-03,LowerBear,75.0,14.5,13.5,85.5
42,2022-05-06,Orestimba,87.5,17.0,5.0,100.0
43,2022-05-09,Orestimba,32.0,22.5,9.0,56.0
44,2022-05-12,Orestimba,57.0,17.0,20.5,72.5
45,2022-05-15,LowerBear,74.0,14.0,5.0,84.0
46,2022-05-18,LowerBear,58.5,18.0,0.5,75.0
47,2022-05-21,Orestimba,94.5,22.0,1.0,111.5
48,2022-05-24,DryCrk,120.0,14.0,12.0,124.5
49,2022-05-27,Orestimba,56.5,14.5,12.0,68.5
50,2022-05-30,DryCrk,63.5,20.0,11.5,79.0
51,2022-06-02,DryCrk,84.5,17.0,19.5,97.0
52,2022-06-06,DryCrk,112.0,20.5,4.0,122.5
53,2022-06-09,Orestimba,55.5,18.0,14.5,70.0
54,2022-06-12,DryCrk,85.0,21.0,21.5,102.0
55,2022-06-15,Orestimba,116.5,14.0,5.0,122.0
56,2022-06-18,LowerBear,47.0,18.0,9.5,63.0
