sample_id,date,watershed,fertilizer_input_kg_ha,temp_C,turbidity_NTU,algal_index
1,2022-01-01,Orestimba,86.09,13.91,6.74,61.56
2,2022-01-04,DryCrk,59.2,18.72,11.43,53.56
3,2022-01-07,Orestimba,95.01,18.88,1.45,80.11
4,2022-01-10,Orestimba,98.81,23.44,3.2,69.57
5,2022-01-13,DryCrk,40.98,21.34,24.78,40.66
6,2022-01-16,Orestimba,53.96,19.43,4.28,59.77
7,2022-01-19,LowerBear,82.56,23.85,5.42,62.67
8,2022-01-22,Orestimba,73.68,13.24,23.02,48.22
9,2022-01-25,Orestimba,79.66,15.44,29.43,61.77
10,2022-01-28,DryCrk,62.94,14.29,4.97,55.95
11,2022-01-31,Orestimba,97.59,16.44,9.79,71.8
12,2022-02-03,DryCrk,95.56,12.49,14.05,77.96
13,2022-02-06,LowerBear,81.32,20.54,22.37,72.08
14,2022-02-09,Orestimba,102.54,17.11,6.08,81.95
15,2022-02-12,LowerBear,89.35,12.12,10.53,67.74
16,2022-02-15,LowerBear,62.81,13.94,16.66,67.46
17,2022-02-18,DryCrk,87.38,19.25,14.61,66.19
18,2022-02-22,Orestimba,60.82,21.35,9.74,37.55
19,2022-02-25,DryCrk,97.57,25.99,11.2,92.16
20,2022-02-28,DryCrk,79.0,29.66,3.75,67.46
21,2022-03-03,LowerBear,76.3,19.66,10.57,62.37
22,2022-03-06,LowerBear,66.38,14.04,10.4,61.54
23,2022-03-09,LowerBear,104.45,9.47,13.39,57.43
24,2022-03-12,LowerBear,76.91,19.07,8.67,51.39
25,2022-03-15,Orestimba,71.43,14.75,14.83,41.85
26,2022-03-18,Orestimba,72.96,16.34,18.08,50.49
27,2022-03-21,Orestimba,90.65,15.55,12.93,70.35
28,2022-03-24,LowerBear,87.31,17.44,14.11,70.53
29,2022-03-27,LowerBear,88.25,22.26,12.32,72.97
30,2022-03-30,LowerBear,88.62,18.63,12.0,56.77
31,2022-04-02,DryCrk,122.83,17.37,7.67,69.11
32,2022-04-05,DryCrk,71.87,13.86,13.9,54.64
33,2022-04-08,DryCrk,69.76,11.3,11.42,47.12
34,2022-04-11,LowerBear,63.72,16.05,24.56,54.75
35,2022-04-15,Orestimba,92.32,17.78,21.44,75.24
36,2022-04-18,LowerBear,102.58,25.07,14.32,82.71
37,2022-04-21,LowerBear,77.72,18.52,7.42,67.53
38,2022-04-24,Orestimba,63.2,21.93,5.33,57.3
39,2022-04-27,Orestimba,63.51,16.0,19.15,55.15
40,2022-04-30,LowerBear,93.01,13.26,13.58,60.78
41,2022-05-03,DryCrk,94.87,14.14,14.88,66.79
42,2022-05-06,Orestimba,90.86,15.1,1.53,68.17
43,2022-05-09,Orestimba,66.69,26.51,17.56,67.79
44,2022-05-12,Orestimba,84.64,14.71,14.73,59.41
45,2022-05-15,DryCrk,82.33,21.35,5.34,70.65
46,2022-05-18,DryCrk,84.37,14.39,9.17,60.01
47,2022-05-21,Orestimba,97.43,21.73,13.58,74.9
48,2022-05-24,LowerBear,84.47,19.54,12.31,72.95
49,2022-05-27,LowerBear,93.58,17.37,10.25,54.1
50,2022-05-30,DryCrk,81.35,17.84,11.38,52.71
51,2022-06-02,Orestimba,85.78,15.38,10.49,51.92
52,2022-06-06,LowerBear,92.63,19.78,12.92,52.73
53,2022-06-09,DryCrk,50.86,16.18,20.83,38.03
54,2022-06-12,DryCrk,73.61,13.1,3.4,60.64
55,2022-06-15,DryCrk,70.59,12.89,10.58,50.39
56,2022-06-18,Orestimba,67.22,18.69,13.06,56.87
57,2022-06-21,LowerBear,74.5,24.32,13.78,72.87
58,2022-06-24,Orestimba,109.9,18.64,9.77,91.47
59,2022-06-27,DryCrk,62.68,17.53,1.46,51.08
60,2022-06-30,Orestimba,99.37,19.14,13.97,85.76
61,2022-07-03,DryCrk,46.34,23.22,22.36,47.12
62,2022-07-06,LowerBear,73.3,18.88,2.8,52.38
63,2022-07-09,Orestimba,83.26,16.36,17.18,58.28
64,2022-07-12,Orestimba,91.72,22.43,10.03,61.13
65,2022-07-15,LowerBear,94.22,19.72,11.63,65.2
66,2022-07-18,Orestimba,95.87,24.14,5.68,73.97
67,2022-07-21,Orestimba,73.03,18.73,9.99,65.23
68,2022-07-24,DryCrk,70.75,13.1,19.8,66.7
69,2022-07-28,Orestimba,97.16,12.53,15.5,57.26
70,2022-07-31,DryCrk,76.17,24.6,22.39,68.53
71,2022-08-03,DryCrk,54.49,24.89,19.06,44.28
72,2022-08-06,LowerBear,57.33,17.28,14.63,52.02
73,2022-08-09,Orestimba,61.61,16.47,22.46,49.09
74,2022-08-12,LowerBear,89.94,23.85,14.63,58.4
75,2022-08-15,Orestimba,82.85,13.57,16.97,67.99
76,2022-08-18,DryCrk,93.81,14.42,10.22,62.98
77,2022-08-21,DryCrk,71.45,20.57,12.4,55.06
78,2022-08-24,LowerBear,83.17,16.42,7.82,54.48
79,2022-08-27,Orestimba,92.51,17.98,17.94,64.66
80,2022-08-30,LowerBear,73.81,17.35,4.93,61.59
81,2022-09-02,DryCrk,89.14,19.35,16.69,67.45
82,2022-09-05,Orestimba,66.76,23.63,10.86,61.59
83,2022-09-08,Orestimba,72.74,18.36,19.03,61.23
84,2022-09-11,Orestimba,72.37,20.58,16.51,70.45
85,2022-09-14,Orestimba,56.08,9.8,22.92,38.75
86,2022-09-18,DryCrk,89.74,17.81,16.38,56.27
87,2022-09-21,LowerBear,70.61,14.63,2.57,62.61
88,2022-09-24,Orestimba,80.25,13.12,11.6,56.0
89,2022-09-27,Orestimba,89.61,14.49,4.97,74.28
90,2022-09-30,Orestimba,88.93,16.66,8.89,69.76
91,2022-10-03,DryCrk,93.31,21.66,21.07,72.27
92,2022-10-06,LowerBear,78.03,12.69,15.83,59.76
93,2022-10-09,DryCrk,71.53,18.12,7.81,73.03
94,2022-10-12,DryCrk,78.41,16.06,5.92,76.51
95,2022-10-15,Orestimba,46.25,16.69,12.2,41.66
96,2022-10-18,DryCrk,51.06,22.01,4.7,49.53
97,2022-10-21,LowerBear,53.55,20.15,7.97,56.86
98,2022-10-24,LowerBear,60.06,23.35,13.87,47.95
99,2022-10-27,Orestimba,88.0,17.38,18.93,69.37
100,2022-10-30,Orestimba,61.89,15.22,15.65,49.1
101,2022-11-02,LowerBear,72.44,17.1,1.75,59.66
102,2022-11-05,DryCrk,105.98,18.97,13.83,72.1
103,2022-11-09,DryCrk,72.87,18.71,12.43,45.97
104,2022-11-12,DryCrk,94.75,13.66,14.48,51.2
105,2022-11-15,Orestimba,61.33,18.36,21.7,42.55
106,2022-11-18,LowerBear,75.89,18.91,0.38,57.0
107,2022-11-21,LowerBear,61.0,28.07,8.45,56.71
108,2022-11-24,LowerBear,73.22,25.51,15.55,79.84
109,2022-11-27,LowerBear,96.81,14.59,2.51,78.6
110,2022-11-30,Orestimba,45.45,16.85,20.86,33.06
111,2022-12-03,Orestimba,88.69,12.15,14.21,65.71
112,2022-12-06,LowerBear,84.75,15.64,17.08,60.11
113,2022-12-09,DryCrk,68.12,19.26,8.57,54.01
114,2022-12-12,LowerBear,51.08,22.82,16.88,50.39
115,2022-12-15,LowerBear,81.44,15.08,18.41,65.89
116,2022-12-18,LowerBear,69.41,15.38,13.4,51.24
117,2022-12-21,LowerBear,84.65,9.41,13.41,66.83
118,2022-12-24,DryCrk,80.44,17.35,13.62,53.01
119,2022-12-27,Orestimba,112.04,13.75,6.82,78.27
120,2022-12-31,DryCrk,75.21,15.88,11.11,78.61
